"Site Code","Site Name","Site Address","City","Country","Region","Legal Entity Name","ERP Code","Legal Entity Code","Sector","Business Unit","Business Field / Type / Service","%23 of Employees","Tier","Site Data Admin","Site Head","Digtial Lead / SPOC","OT Service Delivery Mgr.","OT Project Delivery Mgr.","OT Engineers","OT Solution Architect","CyberSecurity Mgr.","IT Business Partner","IT/OT Training Status","Roadmap Maturity","Current Maturity (BPOG)","Target Maturity (BPOG)","(Target) DPI Variant","IT Assessment","OT Assessment","DPI Core Implementation","DPI Operations","OT System Integration","Total Number of OT Applications","Number of OT Applications to be migrated to DPI","Number of migrated OT Applications","Migration Completed","Latitude","Longitude","Site Image","Review Due Date","Review Status","ID","MES System","MES Version","MES Template","MES Project Status","MES Main Contact","Site Engineering Director","Data Historian Availability","MIddleware Availability","Used Middleware","Used Data Historian","PM Production","PM Technical contact","PM System Size","PM Start of Operation","PM Technical specials"
"USMI1","Milwaukee","6000 North Teutonia Avenue, Milwaukee, WI 53209, USA","Milwaukee","United States of America","NASA",,"PRD","2066/MW01","Life Science","ISCO","ISCO","567","Tier 1","Luke Kellner","David Casper","Jordan Yehle;Luke Kellner","Jordan Yehle",,,,"Jordan Yehle","Manu Kaura",,,,,"N/A","N/A","N/A","N/A","N/A","N/A",,,,,"43.1270558596867","-87.9517390372333",,"11/17/2025 10:40 PM","Completed / Updated","86",,,,,,,,,,,,,,,
"USMIX","Milwaukee (W)",,,"United States of America","NASA",,,,"Life Science","ISCO","DC",,,,,,"Michael Farragher",,,,"Michael Farragher",,,,,,,,,,,,,"1","0","0.0%",,,,,"Completed / Updated","315",,,,,,,,,,,,,,,
"FRMO1","Molsheim","39 route industrielle de la hardt","Molsheim","France","EMEA",,,,"Life Science","ISCO","ISCO","2500","Tier 1","Robin Stalter","Manuel Lang","Robin Stalter;Gregory Kientzy","Robin Stalter","Mathieu Colin","Robin Stalter;Patrick Szpera;Faical MRIZAK;Aurelien Pratviel;Manel AOUDIA;Mufan JIANG;Mathieu Colin;Matthieu Lahousse","Robin Stalter","Robin Stalter","Omar Nadhour","Completed","Stage 2 | Approved Site Masterplan (Site LT approved)",,,"Premium","Completed","Completed","Completed","Externally-managed","Ongoing","250","200","36","18.0%","48.5396125248509","7.52754329336101",,"11/17/2025 10:41 PM","Completed / Updated","87",,,,,,"David Brevet",,,,,,,"67 assets","Aug 2026",
"CNNA2","Nantong",,"Nantong","China","APAC","Merck Life Science Technologies（Nantong）Co., Ltd",,"1213","Life Science","ISCO","ISCO","237","Tier 1","Mike Xu",,"Tony Lu;Eric Song","Eric Song;Mike Xu","Mike Xu",,,"Mike Xu","Damon Zhu","Ongoing",,,,"Premium","Completed","Completed","Completed","Merck-managed","Ongoing",,,,,"31.8430428988222","120.980181810382",,"11/18/2025 6:27 AM","Completed / Updated","88",,,,,,,,,,,,,,,
"INMU1","Navi Mumbai",,"Navi Mumbai","India","APAC",,,,"Life Science","ISCO","ISCO","70","Tier 1 (NC)","Anoop Srivastava","Sagar Jadhav","Anoop Srivastava","Neeraj Srivastava",,,,"Neeraj Srivastava",,,,,,"N/A",,,,,,,,,,"19.0939288214693","72.9217221444778",,"11/18/2025 6:28 AM","Completed / Updated","89",,,,,,,,,,,,,,,
"INMU2","Navi Mumbai (W)","Plot No. A-2/1  |  MIDC | Patalganga l Borivali Ind. Area l Tal. Khalapur l Dist. – Raigad - 410220 l Maharashtra l India","Navi Mumbai","India","APAC",,"P95","1961/62C6","Life Science","ISCO","DC",,,,,,"Kalpesh Patil",,,,"Kalpesh Patil",,,,,,,,,,,,,"1","0","0.0%",,,,,"Completed / Updated","318",,,,,,,,,,,,,,,
"USNO1","Norwood","2909 Highland Ave, Norwood, OH 45212, USA","Norwood","United States of America","NASA","MilliporeSigma","P80","1753/US04","Life Science","ISCO","ISCO","124","Tier 2","John Hart","Charles Phillips","John Hart","John Hart",,,,"John Hart","Pedro Guerrero",,,,,"N/A",,,,,,,,,,"39.1662540070414","-84.4357772520466",,"11/18/2025 2:48 PM","Completed / Updated","92",,,,,,,,,,,,,,,
"CATO1","Oakville (W)","2149 Winston Park Drive, Oakville, ON L6H 6J8 Canada","Oakville (W)","Canada","NASA","MilliporeSigma","PRP","2063/CA01","Life Science","ISCO","DC","60","Tier 2","Lancy DSouza",,"Lancy DSouza","Michael Farragher",,,,"Michael Farragher",,,,,,"N/A",,,,,,,,,,"43.5099723277027","-79.6726044618494",,"11/18/2025 2:49 PM","Completed / Updated","93",,,,,,,,,,,,,,,
"INMU5","Patalganga (W)",,"Patalganga (W)","India","APAC",,,,"Life Science","ISCO","DC","50","Tier 1 (NC)","Pritam Rane",,"Pritam Rane;Gopal Singh Bangari",,,,,,,,,,,"N/A",,,,,,,,,,"18.8736408520063","73.1856470846553",,"11/18/2025 2:51 PM","Completed / Updated","94",,,,,,,,,,,,,,,
"INPE1","Peenya",,"Peenya","India","APAC",,,,"Life Science","ISCO","ISCO","131","Tier 2","Ponraj Ponnusamy",,"Ponraj Ponnusamy","Abhijith R",,,,"Abhijith R","Damon Zhu",,,,,"N/A",,,,,,,,,,"13.0291085634229","77.5190930533095",,"11/18/2025 2:52 PM","Completed / Updated","95",,,,,,,,,,,,,,,
"FRPE1","Pessac","Bâtiment Colibri, 6 rue Adrienne Bolland, 33600 Pessac","Pessac","France","EMEA","Merck Biodevelopment SAS",,"1852","Life Science","LS R&D","R&D",,,"Jeremy Peyrol","Cedric Mesmin","Jeremy Peyrol","Jeremy Peyrol",,,,,,,,,,"Premium Lite","Completed","Completed","Ongoing","Planning","Ongoing","17","1","0","0.0%","44.799412","-0.647755",,,"Update Pending","329",,,,,,,,,,,,,,,
"USPW1","Port Washington (W)",,"Port Washington (W)","United States of America","NASA",,,,"Life Science","ISCO","DC","7","Tier 1 (NC)","Chaz Washington",,"Chaz Washington",,,,,,,,,,,"N/A",,,,,,,,,,"43.3839267160696","-87.8824243002138",,"11/18/2025 10:25 PM","Completed / Updated","97",,,,,,,,,,,,,,,
"PLPO1","Poznan (W)",,"Poznan (W)","Poland","EMEA",,,,"Life Science","ISCO","DC","1","Tier 1 (NC)","Krzysztof Skrobacz",,"Krzysztof Skrobacz",,,,,,,,,,,"N/A",,,,,,,,,,,,,"11/18/2025 10:26 PM","Completed / Updated","98",,,,,,,,,,,,,,,
"CZPR1","Prague (W)",,"Prague (W)","Czech Republic","EMEA",,,,"Life Science","ISCO","DC","1","Tier 1 (NC)","Petr Korcak",,"Petr Korcak",,,,,,,,,,,"N/A",,,,,,,,,,,,,"11/18/2025 11:18 PM","Completed / Updated","99",,,,,,,,,,,,,,,
"USRE1","Reading (W)",,"Reading (W)","United States of America","NASA",,,,"Life Science","ISCO","DC",,"Tier 1 (NC)",,,,,,,,,,,,,,"N/A",,,,,,,,,,"40.3212297383901","-76.0491994256288",,"11/18/2025 11:20 PM","Completed / Updated","100",,,,,,,,,,,,,,,
"ILRE1","Rehovot","Plaut 3","Rehovot","Israel","EMEA","Sigma Aldritch Israel LTD",,"2125","Life Science","ISCO","ISCO","150","Tier 1 (NC)","Avihai Diamant","Arie Mayer","Avihai Diamant","Avihai Diamant",,"Tal Gilad",,"Avihai Diamant","Omar Nadhour",,,,,"N/A",,,,,,,,,,"31.9125788585234","34.8042774264048",,"11/18/2025 11:21 PM","Completed / Updated","102",,,,,,,,,,,,,,,
"USRC1","Rocklin (W)",,"Rocklin (W)","United States of America","NASA",,,,"Life Science","ISCO","DC",,"Tier 3",,,,,,,,,,,,,,"N/A",,,,,,,,,,"38.8129187302069","-121.303677699695",,"11/19/2025 1:15 PM","Completed / Updated","104",,,,,,,,,,,,,,,
"USRK1","Rockville","14920 Broschart Rd, 20850 Rockville, MD, USA ","Rockville","United States of America","NASA","BioReliance Corporation",,"2072","Life Science","CTS","Testing","600","Tier 1 (NC)","Richard Guthrie","Pedro Diaz","Samuel Pereira",,,,,,"Pedro Guerrero",,"Stage 1 | Site Vision Roamap (idea)",,,"Premium","Completed","N/A","Completed",,"Ongoing",,"860","60","7.0%","39.1013563864363","-77.201556658502",,"11/13/2025 5:58 PM","Update Pending","11",,,,,,,,,,,,,,,
"USRO1","Round Rock",,"Round Rock","United States of America","NASA",,,,"Life Science","ISCO","ISCO","120","Tier 3","Kendra Laflin","Rebecca Johnson","Kendra Laflin","Kendra Laflin",,,,"Kendra Laflin",,,,,,"N/A",,,,,,,,,,"30.5420470770534","-97.6899765250677",,"11/19/2025 1:16 PM","Completed / Updated","106",,,,,,,,,,,,,,,
"THSA1","Samut Prakan (W)","660, Soi 3C, Bangpoo Industrial Estate , Prakasa, Muang , Samutprakarn 10280
","Samut Prakan (W)","Thailand","APAC",,"local iScala","1044/ unknown","Life Science","ISCO","DC",,"Tier 2","Rangsima Simargool",,"Rangsima Simargool","Kalpesh Patil",,,,"Kalpesh Patil",,,,,,"N/A",,,,,,,,,,"13.5534694165581","100.65218924141",,"11/19/2025 1:18 PM","Completed / Updated","107",,,,,,,,,,,,,,,
"JPXX1","Sanda (W)",,"Sanda (W)","Japan","APAC",,,,"Life Science","ISCO","DC",,"Tier 1 (NC)","Narumi Ito",,"Narumi Ito",,,,,,,,,,,"N/A",,,,,,,,,,"34.9313325467154","135.162100578953",,"11/19/2025 1:19 PM","Completed / Updated","108",,,,,,,,,,,,,,,
"CLSA1","Santiago (W)","Rio Palena 9669, Pudahuel, Santiogo de Chile","Santiago (W)","Chile","NASA",,"P70 PRE","1028/CL01
2115/CL01","Life Science","ISCO","DC","25","Tier 1 (NC)","Max Barril",,"Max Barril","Raul Faudoa",,,,"Raul Faudoa",,,,,,"N/A",,,,,,,"1","0","0.0%","-33.4209673803807","-70.7800501327566",,"11/15/2025 11:03 PM","Completed / Updated","44",,,,,,,,,,,,,,,
"CHSC1","Schaffhausen","Im Laternenacker 5, 8200 Schaffhausen, Schweiz","Schaffhausen","Switzerland","EMEA","Merck & Cie KmG",,"1079","Life Science","ISCO (CDMO)","PAD / Mfg. / Testing","170","Tier 2","Frank Grieshaber","Martin Knuesel","Frank Grieshaber;Christian Rueeger","Frank Grieshaber","Frank Grieshaber",,,"Frank Grieshaber","Massud Arghandiwall","Ongoing","Stage 1 | Site Vision Roamap (idea)","1","3","Platinum","Completed","N/A","Completed","Merck-managed","Ongoing","40","20","10","50.0%","47.7024584402711","8.64781775792523","Rockville_M3484_221004_183.jpg","11/13/2025 1:42 PM","Completed / Updated","1",,,,,,"Robert Froehlich",,,,,,,,,
"DESC1","Schnelldorf",,"Schnelldorf","Germany","EMEA",,,,"Life Science","ISCO","ISCO","470","Tier 1 (NC)","Pawel Sonnek","Oliver Schramel;Eric Goulet","Pawel Sonnek;Haochen Zuo;Patrick Finsterer","Haochen Zuo",,"Haochen Zuo",,"Haochen Zuo","Massud Arghandiwall","Ongoing",,,,"Premium","N/A","Planning","Completed","Externally-managed","Ongoing",,,"5",,"49.1921260846941","10.1777196227255",,"11/19/2025 8:00 PM","Update Pending","113",,,,,,,,,,,,,,,
"DESC1","Schnelldorf (W)","Kappelweg 1<br>D 91625 Schnelldorf","Schnelldorf (W)","Germany","EMEA",,"PRE","2002/DE01 - Schnelldorf SAP; 2002/DE04
","Life Science","ISCO","DC",,"Tier 1",,,,"Haochen Zuo",,,,"Haochen Zuo","Massud Arghandiwall",,,,,"N/A",,,,,,,,,,"49.1926114060591","10.1777725763415",,"11/19/2025 8:03 PM","Completed / Updated","115",,,,,,,,,,,,,,,
"USSE1","Seattle",,"Seattle","United States of America","NASA",,,,"Life Science","ISCO","ISCO",,"Tier 1 (NC)",,,,,,,,,,,,,,"N/A",,,,,,,,,,"47.6262074193699","-122.368000002779",,"11/19/2025 8:05 PM","Completed / Updated","116",,,,,,,,,,,,,,,
"MYKU2","Shah Alam (W)","4, Jalan U1/26,Section U1, Hicom Glenmarie Industrial Park, 40150 Shah Alam, Selangor Darul Ehsan, Malaysia","Shah Alam (W)","Malaysia","APAC",,"iScala PRE","1042/
01 - Main WH;
2126/MY01","Life Science","ISCO","DC",,"Tier 3","Yin Yin Yee",,"Yin Yin Yee","Kalpesh Patil",,,,"Kalpesh Patil",,,,,,"N/A",,,,,,,,,,"3.06976053925351","101.610135867539",,"11/20/2025 12:47 AM","Completed / Updated","117",,,,,,,,,,,,,,,
"CNSH6","Shanghai",,"Shanghai","China","APAC",,,,"Life Science","ISCO","ISCO",,"Tier 1 (NC)","Jingru Shi",,"Jingru Shi",,,,,,"Damon Zhu",,,,,"N/A",,,,,,,,,,,,,"11/18/2025 6:30 AM","Completed / Updated","90",,,,,,,,,,,,,,,
,"Shanghai (Pudong) (Local DC)","Shanghai Pudong Zhangjiang","Shanghai (Pudong)","China","APAC",,"PRP","2118/CN01","Life Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Completed / Updated","369",,,,,,,,,,,,,,,
"CNSH7","Shanghai (W1)",,"Shanghai (W1)","China","APAC",,,,"Life Science","ISCO","DC","60","Tier 3","Leon Lu",,"Leon Lu","Kalpesh Patil",,,,"Kalpesh Patil","Damon Zhu",,,,,"N/A",,,,,,,,,,"31.2255030408942","121.44989639509",,"11/18/2025 2:46 PM","Completed / Updated","91",,,,,,,,,,,,,,,
"CNSH8","Shanghai (W2)",,"Shanghai (W2)","China","APAC",,,,"Life Science","ISCO","DC","60","Tier 1",,,,,,,,,"Damon Zhu",,,,,"N/A",,,,,,,,,,"31.2463326","121.7018403",,"11/19/2025 8:02 PM","Completed / Updated","114",,,,,,,,,,,,,,,
"USSH1","Sheboygan","5485 Co Rd V, Sheboygan Falls, WI 53085, Vereinigte Staaten","Sheboygan","United States of America","NASA",,,,"Life Science","ISCO","ISCO","582","Tier 1","Jason Vickers","Prabhat Verma","Marek Stanislawczyk","Marek Stanislawczyk","Marek Stanislawczyk","Marek Stanislawczyk;Abdul Hannan Khalid;Benjamin Batura;Nicholas C Thomas",,"Marek Stanislawczyk","Manu Kaura",,"Stage 1 | Site Vision Roamap (idea)","1","3","Premium","Completed","Ongoing","Completed","Planning","Ongoing",,,"2",,"43.6728335520222","-87.7815622696588",,"11/20/2025 12:49 AM","Completed / Updated","119",,,,,,,,,,,,,,,
"SGSI6","Singapore","2 Science Park Dr, Ascent, #04-01/12 2, Singapore Science Park 1, Singapore 118222","Singapore","Singapore","APAC","Sigma-Aldrich Pte. Ltd.",,"2128","Life Science","CTS","Testing","90","Tier 1 (NC)","Richard Guthrie",,"Richard Guthrie[Administrator]",,,,,,"Damon Zhu",,"Stage 1 | Site Vision Roamap (idea)",,,"Essential","Completed","N/A","Completed",,"Ongoing",,"35","20","57.1%","103.785092767854","1.29096882987388",,"11/13/2025 1:50 PM","Completed / Updated","6",,,,,,,,,,,,,,,
,"Singapore (Penjuru) (Local DC) (rented)","20 Penjuru Lane, Level 2, Singapore 609193","Singapore (Penjuru)","Singapore","APAC",,"PRP<br>P95","2128/SG01;
2128/7001","Life Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Completed / Updated","372",,,,,,,,,,,,,,,
,"Singapore (W)",,,"Singapore","APAC",,,,"Life Science","ISCO","DC",,,,,,"Kalpesh Patil",,,,"Kalpesh Patil",,,,,,,,,,,,,"1","0","0.0%",,,,,"Completed / Updated","319",,,,,,,,,,,,,,,
"SGSI6","Singapore Lab",,"Singapore","Singapore","APAC",,,,"Life Science","ISCO","ISCO","25","Tier 1 (NC)","Qin Hong Wong",,"Qin Hong Wong",,,,,,"Damon Zhu",,,,,"Essential",,,,,,,,,,"1.29165134942599","103.784100971854",,"11/20/2025 2:38 AM","Update Pending","120",,,,,,,,,,,,,,,
"USSI1","Sinking Spring (W)",,"Sinking Spring (W)","United States of America","NASA",,,,"Life Science","ISCO","DC","10","Tier 1 (NC)","Michael Robbins",,"Michael Robbins",,,,,,,,,,,"N/A",,,,,,,,,,"40.3212297383901","-76.0491994256288",,"11/20/2025 2:40 AM","Completed / Updated","122",,,,,,,,,,,,,,,
,"Songdo (W)","113 Songdogukje-daero, 343beon-gil, Yeonsu-gu, Incheon, 21991 S. Korea","Songdo (W)","South Korea","APAC",,"PRP P95","2131/KR01, KR02;
1243/6526","Life Science","ISCO","DC",,"Tier 3","Emrae Jung",,"Emrae Jung","Kalpesh Patil",,,,"Kalpesh Patil","Damon Zhu",,,,,"N/A",,,,,,,,,,,,,"11/20/2025 8:19 AM","Completed / Updated","123",,,,,,,,,,,,,,,
"USSL3","St Louis Barton (W)","2425 South Second Street Saint Louis, MO 63104, USA
","St. Louis Barton (W)","United States of America","NASA","MilliporeSigma","PRP","2102/US51
","Life Science","ISCO","DC",,"Tier 1","Andrew Bates","Scott Chase","Andrew Bates","Michael Farragher",,,,"Michael Farragher","Manu Kaura",,,,,"N/A",,,,,,,,,,"38.6002116599223","-90.2026906522618",,"11/20/2025 1:10 PM","Completed / Updated","125",,,,,,,,,,,,,,,
"USSL7","St Louis Broadway",,"St. Louis Broadway","United States of America","NASA",,,,"Life Science","ISCO","ISCO","112","Tier 1","Michael Sumpter","Scott Chase;Jennifer Hazer","Michael Sumpter","Michael Sumpter",,"Michael Sumpter",,"Michael Sumpter","Manu Kaura",,,,,"N/A",,,,,,,,,,"38.5904454904108","-90.2170258473195",,"11/20/2025 1:12 PM","Completed / Updated","126",,,,,,,,,,,,,,,
"USSL4","St Louis Dekalb",,"St. Louis Dekalb","United States of America","NASA",,,,"Life Science","ISCO","ISCO","315","Tier 1","Michael Sumpter","Scott Chase;Trey Heath","Michael Sumpter","Michael Sumpter",,"Michael Sumpter",,"Michael Sumpter","Manu Kaura",,,,,"N/A",,,,,,,,,,"38.5885062779565","-90.2156452454717",,"11/20/2025 6:09 PM","Completed / Updated","129",,,,,,,,,,,,,,,
"USSL5","St Louis Ewing",,"St. Louis Ewing","United States of America","NASA",,,,"Life Science","ISCO","ISCO","229","Tier 1","Michael Sumpter","Scott Chase;Christina Scott","Michael Sumpter","Michael Sumpter",,"Josh Holtgrewe;Michael Sumpter",,"Michael Sumpter","Manu Kaura",,,,,"N/A",,,,,,,,,,"38.6279899657722","-90.2238889031411",,"11/20/2025 6:11 PM","Completed / Updated","130",,,,,,,,,,,,,,,
"USSL1","St Louis Spruce",,"St. Louis Spruce","United States of America","NASA",,,,"Life Science","ISCO","ISCO","300","Tier 1","Michael Sumpter","Scott Chase;Nicholas Torrence","Michael Sumpter","Michael Sumpter",,"Michael Sumpter",,"Michael Sumpter","Manu Kaura",,,,,"Premium",,,,,,,,,,"38.6321036119723","-90.2256325608117",,"11/20/2025 9:32 PM","Update Pending","131",,,,,,,,,,,,,,,
"USSL2 CDMO","St. Louis Cherokee","3300 South 2nd Street, St. Louis MO 63118","St. Louis","United States of America","NASA","Sigma-Aldrich Manufacturing LLC",,"2102","Life Science","ISCO (CDMO)","PAD / Mfg. / Testing","432","Tier 1","Pooja Mehta","Trey Heath;Scott Chase","Pooja Mehta","Ian Vance;Pooja Mehta","Pooja Mehta","Derrick Ruble;Ian Vance;Timothy Holdener","Pooja Mehta","Ian Vance;Pooja Mehta","Pradeep Daryani",,"Stage 1 | Site Vision Roamap (idea)",,,"Essential","Ongoing","Ongoing","Ongoing",,"Planning",,,,,"38.5910946755497","-90.2118024784512",,"11/20/2025 6:07 PM","Update Pending","127",,,,,,"Thomas Elliott",,,,,,,,,
"USSL2 ISCO","St. Louis Cherokee","3300 South 2nd Street, St. Louis MO 63118","St. Louis","United States of America","NASA","Sigma-Aldrich Manufacturing LLC",,"2102","Life Science","ISCO","ISCO",,,"Michael Sumpter","Jason Dillard","Michael Sumpter","Michael Sumpter",,"Michael Sumpter",,"Michael Sumpter","Manu Kaura",,,,,,,,,,,,,,,"38.590076","-90.211898",,,"Completed / Updated","332",,,,,,,,,,,,,,,
"FRSQ1","St. Quentin Fallavier (W)",,"St. Quentin Fallavier (W)","France","EMEA",,,,"Life Science","ISCO","DC",,"Tier 2","Laure Muller",,"Laure Muller",,,,,,,,,,,"N/A",,,,,,,,,,"45.6432972892452","5.09417454014761",,"11/21/2025 7:02 AM","Completed / Updated","132",,,,,,,,,,,,,,,
"UKST1","Stirling","Stirling University Innovation Park, Hillfoots Road, FK9 4NF Stirling","Stirling","Scotland","EMEA","BioReliance LTD",,"2037","Life Science","CTS","Testing","100","Tier 1 (NC)","Richard Guthrie","Roslyn Cameron","Samuel Pereira;Richard Guthrie",,,,,,"Omar Nadhour",,,,,"Essential",,,,,,,,,,"56.1425639201927","-3.91562621771866",,"11/21/2025 7:04 AM","Update Pending","134",,,,,,,,,,,,,,,
"SEST1","Stockholm (W)",,"Stockholm (W)","Sweden","EMEA",,,,"Life Science","ISCO","DC",,"Tier 2","Carlos Shao",,"Carlos Shao",,,,,,,,,,,"N/A",,,,,,,,,,"59.2380990623746","18.1916092393557",,"11/21/2025 7:08 AM","Completed / Updated","135",,,,,,,,,,,,,,,
"TWKU2","Taoyuan (W)",,"Taoyuan (W)","Taiwan","APAC",,,,"Life Science","ISCO","DC","20","Tier 1 (NC)","Michael Farragher",,"Michael Farragher","Kalpesh Patil",,,,"Kalpesh Patil",,,,,,"N/A",,,,,,,,,,"25.0640742785007","121.126550294589",,"11/26/2025 7:53 AM","Completed / Updated","278",,,,,,,,,,,,,,,
,"Taoyuan Zu Fu (Local DC)","No. 38, Ching Chien 4 Road,  Kuanyin Industrial Park, Taoyuan 32853, Taiwan","Taoyuan Zu Fu","Taiwan","APAC",,"P95","1266/7126","Life Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Completed / Updated","374",,,,,,,,,,,,,,,
"USTA1","Taunton (W)",,"Taunton (W)","United States of America","NASA",,,,"Life Science","ISCO","DC",,"Tier 1 (NC)","David Cutter",,"David Cutter",,,,,,,,,,,"N/A",,,,,,,,,,"41.9373316947032","-71.1291245466118",,"11/26/2025 1:12 PM","Completed / Updated","279",,,,,,,,,,,,,,,
"USTE1","Temecula","28820 Single Oak Dr, Temecula, CA 92590, USA","Temecula","United States of America","NASA","MilliporeSigma","Oracle","1975/TEW - US","Life Science","ISCO","ISCO","161","Tier 1","Salim Shaikh","Ulrika Shelton","Salim Shaikh;Anthony B. WILLIAMS;Oscar Cachu","Salim Shaikh;Anthony B. WILLIAMS;Oscar Cachu",,,,"Salim Shaikh;Anthony B. WILLIAMS;Oscar Cachu",,,,,,"N/A",,,,,,,,,,"33.499693513347","-117.15946147448",,"11/26/2025 1:14 PM","Completed / Updated","280",,,,,,,,,,,,,,,
"USWO1","The Woodlands","9186 Six Pines Rd","The Woodlands","United States of America","NASA","Sigma-Genosys of Texas",,"2107","Life Science","ISCO","ISCO","79","Tier 3","Aaron Greenhill","Carlos Martinez","Aaron Greenhill","Aaron Greenhill",,"Aaron Greenhill",,"Aaron Greenhill","Manu Kaura",,,,,"N/A",,,,,,,,,,"30.1730705300185","-95.4596836099222",,"11/26/2025 11:12 PM","Completed / Updated","281",,,,,,,,,,,,,,,
"MXTO1","Toluca (W)","Calle 6 Norte 107, Parque Industrial Toluca 2000, 50200 Toluca de Lerdo, Méx., Mexiko","Toluca (W)","Mexico","NASA",,"PRD P70","2116/MXTO
1034/MX02","Life Science","ISCO","DC",,"Tier 3","Thalia Bernal",,"Thalia Bernal","Raul Faudoa",,,,"Raul Faudoa",,,,,,"N/A",,,,,,,,,,"19.7113122562853","-99.2409244524971",,"11/26/2025 11:14 PM","Completed / Updated","282",,,,,,,,,,,,,,,
"USUR1","Urbana",,"Urbana","United States of America","NASA",,,,"Life Science","ISCO","ISCO",,"Tier 1 (NC)","Andrew Mitchell","Eric Burton","Andrew Mitchell","Cindy Carrion",,,,"Cindy Carrion",,,,,,"N/A",,,,,,,,,,"40.1381394075746","-88.2266111030852",,"11/26/2025 11:15 PM","Completed / Updated","283",,,,,,,,,,,,,,,
"NLUT1","Utrecht",,"Utrecht","Netherlands","EMEA",,,,"Life Science","ISCO","ISCO",,,,,,,,,,,,"Not Assigned",,,,"Essential","Completed","Completed","Ongoing","Planning",,,,,,"52.083303","5.179099",,,"Update Pending","378",,,,,,,,,,,,,,,
"USVE1","Verona","1100 Kettle Moraine Trail, 53593 Verona, WI, USA","Verona","United States of America","NASA","SAFC, Inc.",,"2088","Life Science","ISCO (CDMO)","PAD / Mfg. / Testing","100",,"Nathan Roos","Jenny Fong","Nathan Roos","Nathan Roos","Nathan Roos","Scott Langer;Stephen Gilbert",,"Nathan Roos","Pradeep Daryani",,,,,,,,,,,,"1","0","0.0%","42.966922","-89.507828",,,"Completed / Updated","328",,,,,,,,,,,,,,,
"USVI1","Visalia (W)","8511 West Riggin Ave, Visalia, CA 93291, USA
","Visalia (W)","United States of America","NASA","MilliporeSigma","PRP Oracle P80","2213/US46;
1975/TEW-TEW;
1753/US56 - Visalia","Life Science","ISCO","DC",,"Tier 3","Brian Duarte",,"Brian Duarte","Yesenia Meraz",,,,"Yesenia Meraz",,,,,,"N/A",,,,,,,,,,"36.3559441880284","-119.384385604906",,"11/26/2025 11:17 PM","Completed / Updated","285",,,,,,,,,,,,,,,
"CNWU2","Wuxi",,"Wuxi","China","APAC",,,,"Life Science","ISCO","ISCO","189","Tier 2","Kaye Ning",,"Steven Du;Kevin Lv;Kaye Ning","Marco Sun",,,,"Marco Sun","Damon Zhu",,,,,"Premium",,,,,,,,,,"31.5258803164245","120.452833435506",,"11/27/2025 4:45 AM","Update Pending","286",,,,,,,,,,,,,,,
